word,score,numSyllables
money,4415.0,2
honey,1206.0,2
sunny,717.0,2
bunny,702.0,2
blini,613.0,2
gunny,449.0,2
tunny,301.0,2
sonny,286.0,2
dunny,245.0,2
runny,225.0,2
thunny,222.0,2
aknee,179.0,2
squinny,170.0,2
fiat money,160.0,4
gunnie,156.0,2
blood money,152.0,3
squiny,151.0,2
tunney,119.0,2
spinny,117.0,2
pin money,107.0,3
easy money,66.0,4
smart money,66.0,3
earnest money,62.0,4
easter bunny,56.0,4
paper money,54.0,4
pocket money,47.0,4
folding money,46.0,4
conscience money,41.0,4
hush money,40.0,3
prize money,37.0,3
amount of money,33.0,5
for love or money,32.0,5
tight money,32.0,3
ship money,30.0,3
metal money,27.0,4
sum of money,23.0,4
entrance money,22.0,4
cheap money,21.0,3
spending money,21.0,4
token money,21.0,4
waste of money,19.0,4
ransom money,18.0,4
hearth money,14.0,3
munni,14.0,2
bunnie,2.0,2
euromoney,2.0,4
smartmoney,2.0,3
anyone he,,4
begun he,,3
bunney,,2
ca ne,,2
done he,,2
donne e,,2
everyone he,,4
fun he,,2
grandson he,,3
gun he,,2
handgun he,,3
kun hee,,2
le ne,,2
lunney,,2
lunny,,2
none e,,2
none he,,2
nun he,,2
one he,,2
one knee,,2
pun he,,2
run e,,2
run he,,2
shotgun he,,3
someone e,,3
someone he,,3
son e,,2
son he,,2
sun e,,2
sun he,,2
ton he,,2
ton ne,,2
un e,,2
un he,,2
un ne,,2
un ni,,2
won he,,2
